Frame,X,Y,Radius
13-41-38_0_0051,1233,17,19
13-41-38_0_0052,1219,21,53
13-41-38_0_0053,1227,33,38
13-41-38_0_0054,1207,32,52
13-41-38_0_0055,1192,25,44
13-41-38_0_0056,1183,19,37
13-41-38_0_0057,1169,44,61
13-41-38_0_0058,1148,37,86
13-41-38_0_0059,1144,69,79
13-41-38_0_0060,1168,109,45
13-41-38_0_0061,1204,64,35
13-41-38_0_0062,1195,104,39
13-41-38_0_0063,1232,143,16
13-41-38_0_0064,1209,136,53
13-41-38_0_0065,1216,158,39
13-41-38_0_0066,1237,167,21
13-41-38_0_0067,1235,169,19
13-41-38_0_0068,1247,175,19
13-41-38_0_0069,1249,163,22
13-41-38_0_0070,1257,152,13
13-41-38_0_0071,1252,173,25
13-41-38_0_0072,1252,181,16
13-41-38_0_0073,1250,170,17
13-41-38_0_0074,1264,157,12
