Frame,X,Y,Radius
13-38-07_0_0057,469,103,50
13-38-07_0_0061,445,115,54
13-38-07_0_0062,430,124,53
13-38-07_0_0063,421,131,49
13-38-07_0_0064,418,124,59
13-38-07_0_0065,412,128,58
13-38-07_0_0066,405,131,57
13-38-07_0_0067,401,131,59
13-38-07_0_0068,393,142,53
13-38-07_0_0069,387,146,53
13-38-07_0_0070,383,148,54
13-38-07_0_0071,377,152,53
13-38-07_0_0072,375,152,54
13-38-07_0_0073,369,155,53
13-38-07_0_0074,364,155,55
13-38-07_0_0075,359,163,51
13-38-07_0_0076,356,164,52
13-38-07_0_0077,350,169,50
13-38-07_0_0078,347,170,50
13-38-07_0_0079,344,173,51
13-38-07_0_0080,340,173,47
13-38-07_0_0081,333,179,47
13-38-07_0_0082,328,182,46
13-38-07_0_0083,325,184,46
13-38-07_0_0084,322,187,47
13-38-07_0_0085,319,188,47
13-38-07_0_0086,315,191,46
13-38-07_0_0087,309,193,44
13-38-07_0_0088,308,195,46
13-38-07_0_0089,307,196,43
13-38-07_0_0090,299,201,42
13-38-07_0_0091,301,200,43
13-38-07_0_0092,295,203,44
13-38-07_0_0093,291,203,44
13-38-07_0_0094,289,207,39
13-38-07_0_0095,285,207,44
13-38-07_0_0096,280,213,40
13-38-07_0_0097,280,213,39
13-38-07_0_0098,275,214,40
13-38-07_0_0099,273,215,41
13-38-07_0_0100,269,221,37
13-38-07_0_0101,268,220,36
13-38-07_0_0102,263,221,39
13-38-07_0_0103,262,225,38
13-38-07_0_0104,259,226,37
13-38-07_0_0105,256,229,36
13-38-07_0_0106,255,230,34
13-38-07_0_0107,251,231,36
13-38-07_0_0108,251,231,37
13-38-07_0_0109,245,235,35
13-38-07_0_0110,247,232,38
13-38-07_0_0111,247,231,38
13-38-07_0_0112,241,238,35
13-38-07_0_0113,242,237,35
13-38-07_0_0114,237,239,36
13-38-07_0_0115,233,242,34
13-38-07_0_0116,236,241,36
13-38-07_0_0117,230,244,34
13-38-07_0_0118,231,243,35
13-38-07_0_0119,226,247,34
13-38-07_0_0120,223,249,32
13-38-07_0_0121,221,250,32
13-38-07_0_0122,220,250,33
13-38-07_0_0123,218,251,32
13-38-07_0_0124,214,254,30
13-38-07_0_0125,217,253,31
13-38-07_0_0126,213,255,31
13-38-07_0_0127,213,254,31
13-38-07_0_0128,209,256,32
13-38-07_0_0129,206,259,29
13-38-07_0_0130,207,260,32
13-38-07_0_0131,202,261,28
13-38-07_0_0132,200,262,27
13-38-07_0_0133,206,261,31
13-38-07_0_0134,203,261,31
13-38-07_0_0135,197,265,29
13-38-07_0_0136,196,267,28
13-38-07_0_0137,197,266,29
13-38-07_0_0138,194,267,27
13-38-07_0_0139,193,268,29
13-38-07_0_0140,196,268,31
13-38-07_0_0141,190,271,26
13-38-07_0_0142,191,268,30
13-38-07_0_0143,187,271,29
13-38-07_0_0144,189,268,31
13-38-07_0_0145,184,273,28
13-38-07_0_0146,185,274,30
13-38-07_0_0147,179,277,25
13-38-07_0_0148,179,277,27
13-38-07_0_0149,178,277,27
13-38-07_0_0150,178,278,28
13-38-07_0_0151,177,279,25
13-38-07_0_0152,176,277,27
13-38-07_0_0154,171,281,25
13-38-07_0_0155,171,281,26
13-38-07_0_0156,171,283,26
13-38-07_0_0157,171,283,28
13-38-07_0_0158,170,283,28
13-38-07_0_0159,165,285,24
13-38-07_0_0160,165,287,24
13-38-07_0_0162,163,289,23
13-38-07_0_0163,160,290,22
13-38-07_0_0166,159,290,25
13-38-07_0_0167,160,289,26
13-38-07_0_0168,159,287,25
13-38-07_0_0169,159,290,24
13-38-07_0_0170,154,293,23
13-38-07_0_0171,153,292,23
13-38-07_0_0172,152,295,23
13-38-07_0_0173,149,295,21
13-38-07_0_0174,151,293,21
13-38-07_0_0177,155,292,29
13-38-07_0_0179,145,301,20
13-38-07_0_0180,143,301,20
13-38-07_0_0181,142,301,21
13-38-07_0_0183,145,299,24
13-38-07_0_0184,143,301,21
13-38-07_0_0185,145,299,24
13-38-07_0_0186,143,299,23
13-38-07_0_0187,139,302,22
13-38-07_0_0188,141,301,22
13-38-07_0_0189,139,303,23
13-38-07_0_0190,140,299,24
13-38-07_0_0192,137,305,21
13-38-07_0_0193,137,302,23
13-38-07_0_0194,133,307,20
13-38-07_0_0196,131,308,20
13-38-07_0_0200,133,308,21
13-38-07_0_0201,131,307,22
13-38-07_11_0051,107,275,15
13-38-07_11_0052,117,281,15
13-38-07_11_0053,118,274,19
13-38-07_11_0054,124,267,27
13-38-07_11_0055,133,273,27
13-38-07_11_0056,133,271,28
13-38-07_11_0057,147,275,27
13-38-07_11_0058,147,272,30
13-38-07_11_0059,159,273,26
13-38-07_11_0060,160,277,27
13-38-07_11_0061,170,280,28
13-38-07_11_0062,175,278,28
13-38-07_11_0063,187,281,26
13-38-07_11_0064,185,283,26
13-38-07_11_0065,200,280,27
13-38-07_11_0066,202,284,24
13-38-07_11_0067,205,285,26
13-38-07_11_0068,211,286,26
13-38-07_11_0069,218,285,26
13-38-07_11_0070,229,292,22
13-38-07_11_0071,231,287,27
13-38-07_11_0072,241,289,25
13-38-07_11_0073,244,287,23
13-38-07_11_0074,247,292,24
13-38-07_11_0075,256,291,23
13-38-07_11_0076,257,295,24
13-38-07_11_0077,268,296,20
13-38-07_11_0078,267,297,23
13-38-07_11_0079,279,305,17
13-38-07_11_0080,284,307,16
13-38-07_11_0082,292,295,29
13-38-07_11_0083,299,303,22
13-38-07_11_0084,299,302,25
13-38-07_11_0085,305,302,21
13-38-07_11_0086,310,303,21
13-38-07_11_0091,332,309,22
13-38-07_11_0092,340,310,21
13-38-07_11_0093,343,307,25
13-38-07_11_0094,340,311,17
13-38-07_11_0096,353,310,22
13-38-07_11_0097,362,319,16
13-38-07_11_0098,359,311,19
13-38-07_11_0099,370,322,13
13-38-07_11_0100,374,320,16
13-38-07_11_0101,379,319,17
