Frame,X,Y,Radius
13-38-07_0_0057,399,5,50
13-38-07_0_0061,375,17,54
13-38-07_0_0062,360,26,53
13-38-07_0_0063,351,33,49
13-38-07_0_0064,348,26,59
13-38-07_0_0065,342,30,58
13-38-07_0_0066,335,33,57
13-38-07_0_0067,331,33,59
13-38-07_0_0068,323,44,53
13-38-07_0_0069,317,48,53
13-38-07_0_0070,313,50,54
13-38-07_0_0071,307,54,53
13-38-07_0_0072,305,54,54
13-38-07_0_0073,299,57,53
13-38-07_0_0074,294,57,55
13-38-07_0_0075,289,65,51
13-38-07_0_0076,286,66,52
13-38-07_0_0077,280,71,50
13-38-07_0_0078,277,72,50
13-38-07_0_0079,274,75,51
13-38-07_0_0080,270,75,47
13-38-07_0_0081,263,81,47
13-38-07_0_0082,258,84,46
13-38-07_0_0083,255,86,46
13-38-07_0_0084,252,89,47
13-38-07_0_0085,249,90,47
13-38-07_0_0086,245,93,46
13-38-07_0_0087,239,95,44
13-38-07_0_0088,238,97,46
13-38-07_0_0089,237,98,43
13-38-07_0_0090,229,103,42
13-38-07_0_0091,231,102,43
13-38-07_0_0092,225,105,44
13-38-07_0_0093,221,105,44
13-38-07_0_0094,219,109,39
13-38-07_0_0095,215,109,44
13-38-07_0_0096,210,115,40
13-38-07_0_0097,210,115,39
13-38-07_0_0098,205,116,40
13-38-07_0_0099,203,117,41
13-38-07_0_0100,199,123,37
13-38-07_0_0101,198,122,36
13-38-07_0_0102,193,123,39
13-38-07_0_0103,192,127,38
13-38-07_0_0104,189,128,37
13-38-07_0_0105,186,131,36
13-38-07_0_0106,185,132,34
13-38-07_0_0107,181,133,36
13-38-07_0_0108,181,133,37
13-38-07_0_0109,175,137,35
13-38-07_0_0110,177,134,38
13-38-07_0_0111,177,133,38
13-38-07_0_0112,171,140,35
13-38-07_0_0113,172,139,35
13-38-07_0_0114,167,141,36
13-38-07_0_0115,163,144,34
13-38-07_0_0116,166,143,36
13-38-07_0_0117,160,146,34
13-38-07_0_0118,161,145,35
13-38-07_0_0119,156,149,34
13-38-07_0_0120,153,151,32
13-38-07_0_0121,151,152,32
13-38-07_0_0122,150,152,33
13-38-07_0_0123,148,153,32
13-38-07_0_0124,144,156,30
13-38-07_0_0125,147,155,31
13-38-07_0_0126,143,157,31
13-38-07_0_0127,143,156,31
13-38-07_0_0128,139,158,32
13-38-07_0_0129,136,161,29
13-38-07_0_0130,137,162,32
13-38-07_0_0131,132,163,28
13-38-07_0_0132,130,164,27
13-38-07_0_0133,136,163,31
13-38-07_0_0134,133,163,31
13-38-07_0_0135,127,167,29
