Frame,X,Y,Radius
13-41-38_21_0000,1113,125,14
13-41-38_21_0003,1114,85,19
13-41-38_21_0006,1121,89,32
13-41-38_21_0007,1111,57,42
13-41-38_21_0009,1106,118,23
13-41-38_21_0010,1099,119,11
13-41-38_21_0011,1103,118,20
13-41-38_21_0012,1099,118,20
13-41-38_21_0017,1082,113,29
13-41-38_21_0018,1091,103,16
13-41-38_21_0020,1093,107,18
13-41-38_21_0021,1090,98,18
13-41-38_21_0024,1097,97,21
13-41-38_21_0026,1081,112,24
13-41-38_21_0027,1091,101,18
13-41-38_21_0028,1101,99,13
13-41-38_21_0034,1093,107,17
13-41-38_21_0059,1095,79,24
13-41-38_21_0070,1081,49,29
13-41-38_21_0076,1097,52,44
13-41-38_21_0077,1089,33,20
13-41-38_21_0078,1089,63,22
13-41-38_21_0079,1096,39,28
13-41-38_21_0080,1084,50,14
13-41-38_21_0081,1107,45,39
13-41-38_21_0082,1088,55,35
13-41-38_21_0083,1105,71,24
13-41-38_21_0084,1115,70,29
13-41-38_21_0085,1073,64,20
13-41-38_21_0086,1075,77,25
13-41-38_21_0087,1070,85,22
13-41-38_21_0088,1069,82,23
13-41-38_21_0089,1070,83,21
13-41-38_21_0090,1065,80,23
13-41-38_21_0091,1066,89,20
13-41-38_21_0092,1060,83,20
13-41-38_21_0093,1061,77,26
13-41-38_21_0094,1061,80,25
13-41-38_21_0095,1054,79,19
13-41-38_21_0096,1066,75,31
13-41-38_21_0097,1057,68,22
13-41-38_21_0098,1057,71,27
13-41-38_21_0099,1046,79,20
13-41-38_21_0100,1052,76,24
13-41-38_21_0101,1042,85,20
13-41-38_21_0102,1039,62,34
13-41-38_21_0103,1052,75,29
13-41-38_21_0104,1039,71,16
13-41-38_21_0105,1041,75,19
13-41-38_21_0106,1029,41,28
13-41-38_21_0107,1046,68,21
13-41-38_21_0108,1057,82,36
13-41-38_21_0109,1061,31,30
13-41-38_21_0110,1057,32,29
13-41-38_21_0111,1053,19,38
13-41-38_21_0112,1055,22,35
13-41-38_21_0113,1057,29,31
13-41-38_21_0114,1059,26,35
13-41-38_21_0115,1051,29,35
13-41-38_21_0116,1046,14,34
13-41-38_21_0117,1063,16,52
13-41-38_21_0118,1067,15,52
13-41-38_21_0119,1058,31,33
13-41-38_21_0120,1058,13,47
13-41-38_21_0121,1049,15,34
13-41-38_21_0122,1060,14,52
13-41-38_21_0123,1045,31,27
13-41-38_21_0124,1042,25,37
13-41-38_21_0125,1029,21,24
13-41-38_21_0126,1045,25,34
13-41-38_21_0127,1058,17,48
13-41-38_21_0128,1047,35,29
13-41-38_21_0129,1040,28,33
13-41-38_21_0130,1043,28,25
13-41-38_21_0131,1040,39,25
13-41-38_21_0132,1045,17,27
13-41-38_21_0133,1047,29,33
13-41-38_21_0134,1029,26,28
13-41-38_21_0135,1037,31,28
13-41-38_21_0136,1021,57,36
13-41-38_21_0137,1045,28,35
13-41-38_21_0138,1035,31,30
