Frame,X,Y,Radius
3,723,322,28
4,725,322,29
5,716,320,28
6,712,320,29
7,710,317,30
8,703,316,27
9,701,314,29
10,697,311,28
11,694,311,29
12,691,311,29
13,687,311,29
14,689,309,30
15,681,313,33
16,681,308,28
17,670,303,25
18,673,303,29
19,668,304,26
20,663,303,28
21,661,301,27
22,661,302,27
23,653,298,27
24,655,299,27
25,651,298,27
26,649,297,26
27,641,295,26
28,640,292,27
29,635,292,25
30,634,293,27
31,631,291,24
32,631,289,24
33,623,287,23
34,622,286,23
35,621,289,23
36,620,290,27
37,616,286,22
38,614,286,22
39,613,283,23
40,609,283,21
41,608,283,22
42,603,281,20
43,599,280,21
44,597,279,21
45,596,278,21
46,595,279,22
47,593,279,20
48,589,277,20
49,587,277,21
50,589,278,22
51,586,274,20
52,584,275,22
53,581,275,21
54,577,272,19
55,575,273,20
56,575,273,21
57,575,275,22
58,571,272,20
59,568,271,20
60,566,269,19
61,566,268,18
63,562,268,18
64,557,267,18
65,559,269,19
66,555,267,19
67,553,265,17
68,550,265,17
69,551,266,19
70,551,265,17
71,549,263,17
72,548,265,17
73,545,265,18
75,542,262,18
76,538,262,17
78,537,261,17
79,533,260,16
81,531,257,15
82,532,259,17
84,527,256,15
89,520,255,15
91,523,256,17
92,520,255,16
95,515,254,17
