Frame,X,Y,Radius
0,574,325,14
1,573,326,16
2,573,326,16
3,572,326,16
4,572,327,16
5,571,327,16
6,571,327,16
7,569,328,15
8,569,328,15
9,569,329,15
10,568,329,17
11,568,329,17
12,567,331,17
13,567,331,17
14,566,331,15
15,565,331,16
16,565,331,16
17,565,332,16
18,565,332,16
19,563,332,17
20,563,333,17
21,562,333,17
22,561,333,17
23,561,334,17
24,560,334,17
25,559,335,16
26,559,335,16
27,557,335,16
28,557,337,16
29,557,337,17
30,556,337,18
31,556,337,18
32,555,337,18
33,554,338,18
34,554,338,18
35,553,339,18
36,553,339,18
37,553,340,17
38,551,340,18
39,550,340,18
40,550,341,18
41,549,341,18
42,548,341,18
43,548,341,18
44,547,343,18
45,547,343,18
46,545,343,18
47,545,344,20
48,544,344,19
49,544,345,19
50,543,345,19
51,542,346,19
52,542,346,19
53,541,346,20
54,541,347,19
55,539,347,21
56,539,347,20
57,538,349,21
58,537,349,20
59,537,349,20
60,536,350,20
61,535,350,21
62,535,351,21
63,535,351,21
64,533,352,21
65,532,352,20
66,531,353,21
67,531,353,21
68,530,353,20
69,529,353,20
70,529,355,20
71,529,355,20
72,527,356,21
73,526,356,21
74,525,357,21
75,524,357,21
76,524,358,23
77,523,358,23
78,523,359,22
79,521,358,22
80,520,361,22
81,520,361,21
82,519,359,21
83,518,359,21
84,518,362,22
85,517,362,22
86,514,363,22
87,515,363,23
88,514,364,23
89,513,364,23
90,512,365,24
91,511,365,22
92,509,367,23
93,509,367,22
94,509,367,22
95,508,368,23
96,507,368,24
97,506,369,24
98,505,369,24
99,503,370,23
100,503,371,23
101,502,371,24
102,501,371,23
103,500,371,23
104,500,373,24
105,499,373,23
106,499,374,24
107,497,375,26
108,496,375,25
109,495,376,25
110,494,376,26
111,493,377,24
112,493,377,25
113,491,379,25
114,490,379,26
115,489,380,26
116,488,380,26
117,487,381,26
118,485,381,25
119,485,382,27
120,484,383,27
121,483,383,27
122,482,385,25
123,481,385,26
124,481,385,26
125,478,386,27
126,478,387,27
127,477,387,27
128,476,388,27
129,475,389,26
130,475,389,27
131,473,389,27
132,472,391,29
133,471,391,28
134,470,392,28
135,469,393,29
136,467,393,28
137,466,394,28
138,465,395,28
139,464,397,28
140,463,395,29
141,463,397,29
142,460,398,29
143,459,398,29
144,458,399,29
145,457,400,30
146,455,401,30
147,455,401,29
148,454,401,29
149,453,403,31
150,451,404,29
151,451,404,29
152,449,405,31
153,448,406,31
154,447,407,31
155,445,407,30
156,445,407,31
157,443,409,30
158,441,410,31
159,440,411,31
160,439,411,32
161,437,412,31
162,437,413,33
163,435,413,31
164,434,415,33
165,433,416,33
166,431,416,33
167,430,417,33
168,429,418,33
169,427,419,34
170,427,421,32
171,425,421,34
172,423,421,33
173,422,422,34
174,421,423,34
175,419,424,35
176,417,425,34
177,417,427,35
178,416,427,34
179,413,428,35
180,411,429,35
181,411,429,35
182,409,430,36
183,407,431,35
184,407,431,35
185,405,433,36
186,404,434,36
187,403,435,35
188,400,436,36
189,399,436,35
190,398,437,35
191,395,439,36
192,394,441,37
193,393,442,37
194,393,441,36
195,389,443,37
196,387,445,39
197,387,446,39
198,385,447,38
199,385,446,37
200,382,447,38
201,381,448,38
202,377,449,37
203,377,449,38
204,376,452,39
205,374,452,39
206,373,454,40
207,371,455,41
208,369,455,39
209,367,458,41
210,365,458,39
211,364,460,41
212,362,461,41
213,361,461,41
214,358,463,40
215,357,464,41
216,355,466,43
217,353,466,43
218,351,467,42
219,350,469,42
220,349,471,43
221,346,470,42
222,344,471,42
223,341,473,43
224,340,473,42
225,338,476,44
226,335,477,43
227,335,479,46
228,334,478,44
229,331,479,43
230,329,479,44
231,323,479,40
232,329,479,40
