Frame,X,Y
30,710,264
31,706,264
32,703,266
33,698,266
34,693,267
35,687,268
36,685,270
37,682,271
38,676,273
39,672,274
40,667,276
41,660,280
42,656,285
43,651,291
44,653,294
45,650,295
46,647,297
47,635,305
48,630,305
49,625,306
50,622,306
51,621,305
52,618,308
53,614,308
54,606,312
55,602,313
56,598,314
57,595,315
58,589,317
59,575,326
60,569,328
61,561,328
62,557,329
63,556,331
64,550,331
65,545,332
66,540,333
67,534,336
68,526,338
69,520,341
70,511,344
71,503,346
72,494,347
73,490,348
74,485,349
75,481,350
76,478,351
77,472,352
78,465,354
79,458,356
80,450,359
81,435,362
82,427,364
83,417,367
84,409,368
85,402,370
86,398,372
87,394,371
88,387,374
89,379,377
90,367,379
91,358,382
92,349,385
93,340,387
94,329,390
95,319,392
96,311,394
97,302,396
98,292,399
99,282,402
100,270,405
101,259,408
102,248,411
103,238,414
104,227,416
105,216,418
106,204,421
107,193,424
108,181,428
109,168,431
110,156,435
111,143,437
112,131,441
113,118,444
114,101,449
115,101,448
116,101,450
117,101,452
118,101,457
119,113,477
120,34,472
