Frame,X,Y,Radius
0,425,275,21
1,419,277,20
2,421,278,21
3,410,277,20
4,410,279,20
5,401,280,20
6,399,281,23
7,392,281,21
8,392,281,20
11,377,284,21
12,370,286,23
13,369,286,22
14,361,286,23
15,357,285,21
16,353,286,20
19,333,289,21
20,329,289,19
21,327,291,21
22,322,292,22
23,317,292,21
24,311,292,21
25,307,295,23
26,302,295,23
27,291,297,25
28,290,301,25
29,285,298,23
30,278,299,23
31,272,299,23
32,259,304,24
33,256,305,27
34,254,309,26
35,244,307,27
36,237,307,26
37,237,305,24
38,227,308,26
39,224,308,24
40,218,311,27
41,212,311,25
42,205,311,25
43,197,313,24
44,191,314,26
45,179,316,29
46,178,319,28
47,169,317,26
48,155,321,27
49,154,320,25
50,148,321,27
51,140,322,26
52,125,326,28
53,127,329,27
